"gene","samplename","normalized_counts","group"
"ENSG00000126890","TCGA-ZF-A9RD-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000145321","TCGA-ZF-A9RD-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000159217","TCGA-ZF-A9RD-01A-11R-A42T-07",5.22279676793705,"Tumor"
"ENSG00000163586","TCGA-ZF-A9RD-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000167754","TCGA-ZF-A9RD-01A-11R-A42T-07",13.9971853650529,"Tumor"
"ENSG00000170373","TCGA-ZF-A9RD-01A-11R-A42T-07",8.56538093180321,"Tumor"
"ENSG00000171560","TCGA-ZF-A9RD-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000171564","TCGA-ZF-A9RD-01A-11R-A42T-07",4.25007704806307,"Tumor"
"ENSG00000181433","TCGA-ZF-A9RD-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000184330","TCGA-ZF-A9RD-01A-11R-A42T-07",11.09619361722,"Tumor"
"ENSG00000185479","TCGA-ZF-A9RD-01A-11R-A42T-07",15.3705991109458,"Tumor"
"ENSG00000186847","TCGA-ZF-A9RD-01A-11R-A42T-07",18.9830910364776,"Tumor"
"ENSG00000187172","TCGA-ZF-A9RD-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000203857","TCGA-ZF-A9RD-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000204019","TCGA-ZF-A9RD-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000228437","TCGA-ZF-A9RD-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000229035","TCGA-ZF-A9RD-01A-11R-A42T-07",9.04331483735922,"Tumor"
"ENSG00000233532","TCGA-ZF-A9RD-01A-11R-A42T-07",6.49433298188549,"Tumor"
"ENSG00000237412","TCGA-ZF-A9RD-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000250920","TCGA-ZF-A9RD-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000260887","TCGA-ZF-A9RD-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000266976","TCGA-ZF-A9RD-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000269586","TCGA-ZF-A9RD-01A-11R-A42T-07",3.68320245492119,"Tumor"
"ENSG00000101441","TCGA-2F-A9KR-01A-11R-A38B-07",4.71352768716665,"Tumor"
"ENSG00000123500","TCGA-2F-A9KR-01A-11R-A38B-07",6.64502712705224,"Tumor"
"ENSG00000126890","TCGA-2F-A9KR-01A-11R-A38B-07",4.05424485008977,"Tumor"
"ENSG00000145321","TCGA-2F-A9KR-01A-11R-A38B-07",3.68320245492119,"Tumor"
"ENSG00000159217","TCGA-2F-A9KR-01A-11R-A38B-07",4.71352768716665,"Tumor"
"ENSG00000163586","TCGA-2F-A9KR-01A-11R-A38B-07",3.68320245492119,"Tumor"
"ENSG00000167754","TCGA-2F-A9KR-01A-11R-A38B-07",6.15418772425654,"Tumor"
"ENSG00000170373","TCGA-2F-A9KR-01A-11R-A38B-07",7.63773859502338,"Tumor"
"ENSG00000171560","TCGA-2F-A9KR-01A-11R-A38B-07",4.20650944678917,"Tumor"
"ENSG00000171564","TCGA-2F-A9KR-01A-11R-A38B-07",3.68320245492119,"Tumor"
"ENSG00000181433","TCGA-2F-A9KR-01A-11R-A38B-07",4.05424485008977,"Tumor"
"ENSG00000184330","TCGA-2F-A9KR-01A-11R-A38B-07",9.54740739918094,"Tumor"
"ENSG00000185479","TCGA-2F-A9KR-01A-11R-A38B-07",11.9823897658082,"Tumor"
"ENSG00000186847","TCGA-2F-A9KR-01A-11R-A38B-07",12.615287619366,"Tumor"
"ENSG00000187172","TCGA-2F-A9KR-01A-11R-A38B-07",4.41932292117836,"Tumor"
"ENSG00000203857","TCGA-2F-A9KR-01A-11R-A38B-07",3.68320245492119,"Tumor"
"ENSG00000204019","TCGA-2F-A9KR-01A-11R-A38B-07",3.68320245492119,"Tumor"
"ENSG00000228437","TCGA-2F-A9KR-01A-11R-A38B-07",4.41932292117836,"Tumor"
"ENSG00000229035","TCGA-2F-A9KR-01A-11R-A38B-07",4.20650944678917,"Tumor"
"ENSG00000233532","TCGA-2F-A9KR-01A-11R-A38B-07",4.32239849412966,"Tumor"
"ENSG00000237412","TCGA-2F-A9KR-01A-11R-A38B-07",3.68320245492119,"Tumor"
"ENSG00000250920","TCGA-2F-A9KR-01A-11R-A38B-07",9.88389035653098,"Tumor"
"ENSG00000260887","TCGA-2F-A9KR-01A-11R-A38B-07",4.20650944678917,"Tumor"
"ENSG00000266976","TCGA-2F-A9KR-01A-11R-A38B-07",5.07017434966587,"Tumor"
"ENSG00000269586","TCGA-2F-A9KR-01A-11R-A38B-07",3.68320245492119,"Tumor"
"ENSG00000101441","TCGA-SY-A9G0-01A-12R-A38B-07",4.13480726167432,"Tumor"
"ENSG00000123500","TCGA-SY-A9G0-01A-12R-A38B-07",11.2111316535213,"Tumor"
"ENSG00000126890","TCGA-SY-A9G0-01A-12R-A38B-07",3.68320245492119,"Tumor"
"ENSG00000145321","TCGA-SY-A9G0-01A-12R-A38B-07",6.10818224452437,"Tumor"
"ENSG00000159217","TCGA-SY-A9G0-01A-12R-A38B-07",4.13480726167432,"Tumor"
"ENSG00000163586","TCGA-SY-A9G0-01A-12R-A38B-07",5.29475703254334,"Tumor"
"ENSG00000167754","TCGA-SY-A9G0-01A-12R-A38B-07",5.2413077021872,"Tumor"
"ENSG00000170373","TCGA-SY-A9G0-01A-12R-A38B-07",6.58963788037428,"Tumor"
"ENSG00000171560","TCGA-SY-A9G0-01A-12R-A38B-07",7.91892567784252,"Tumor"
"ENSG00000171564","TCGA-SY-A9G0-01A-12R-A38B-07",6.82097808618411,"Tumor"
"ENSG00000181433","TCGA-SY-A9G0-01A-12R-A38B-07",4.13480726167432,"Tumor"
"ENSG00000184330","TCGA-SY-A9G0-01A-12R-A38B-07",3.68320245492119,"Tumor"
"ENSG00000185479","TCGA-SY-A9G0-01A-12R-A38B-07",4.13480726167432,"Tumor"
"ENSG00000186847","TCGA-SY-A9G0-01A-12R-A38B-07",6.55038251345742,"Tumor"
"ENSG00000187172","TCGA-SY-A9G0-01A-12R-A38B-07",3.68320245492119,"Tumor"
"ENSG00000203857","TCGA-SY-A9G0-01A-12R-A38B-07",3.68320245492119,"Tumor"
"ENSG00000204019","TCGA-SY-A9G0-01A-12R-A38B-07",3.68320245492119,"Tumor"
